1,2010,,,,,
1,2011,40636.270000000004,52673.92,58818.12,9800.41,59518.63
1,2012,433959.72000000003,116777.32,82187.49,196028.53999999995,236177.08000000002
1,2013,293697.3599999999,74836.09999999999,7695.41,122997.88,102851.98
2,2010,,,,,
2,2011,53893.159999999996,114448.38,82233.17,16329.399999999998,65380.59000000001
2,2012,573934.83,173625.67000000004,114511.7,241179.70000000004,319253.33
2,2013,307795.07,83392.78000000001,9236.04,138201.04,151873.07000000004
3,2010,,,,,
3,2011,18526.850000000002,16422.079999999998,39386.369999999995,2932.2400000000002,17246.109999999997
3,2012,164508.83,37394.03,56659.54,45614.15,55149.310000000005
3,2013,107385.88999999998,21902.320000000003,2401.6499999999996,19062.64,31406.07
4,2010,,,,,
4,2011,42287.759999999995,90382.91,92516.79,17354.28,85590.18
4,2012,514517.5400000001,171056.34000000003,103297.08,260450.94,320770.24
4,2013,389646.89999999997,115243.35999999999,9914.279999999999,194776.94000000003,149273.27
5,2010,,,,,
5,2011,11902.96,19150.219999999998,30808.45,2967.57,38701.57
5,2012,165912.32,38537.62000000001,47108.439999999995,54761.229999999996,108385.4
5,2013,94765.28999999996,20652.229999999996,2037.96,29057.280000000002,51396.82000000001
6,2010,,,,,
6,2011,44718.840000000004,85730.54000000001,89036.83999999998,13499.31,65790.56
6,2012,458276.6500000001,160578.17,120621.51,187186.86000000002,279675.26999999996
6,2013,323080.47999999986,130272.59000000003,7438.02,125437.10999999999,134510.60000000003
7,2010,,,,,
7,2011,16823.460000000003,19696.09,43236.37,4683.1900000000005,25528.460000000003
7,2012,338133.91000000003,57064.25999999999,60055.46000000001,84909.94999999998,175651.28
7,2013,134006.28000000003,31015.690000000002,3165.479999999999,39542.969999999994,43452.30999999998
8,2010,,,,,
8,2011,24570.940000000002,41711.39,49869.43000000001,5732.46,42668.66999999999
8,2012,401588.5500000001,103560.36000000004,51647.46,84992.49999999999,287398.39999999985
8,2013,279503.61,56651.82999999999,5552.9800000000005,62415.59999999997,86857.81000000001
9,2010,,,,,
9,2011,16949.57,16129.609999999999,46224.03,5575.24,38332.93
9,2012,165788.34000000003,35847.450000000004,62971.439999999995,47178.09999999999,170031.75
9,2013,94737.48999999996,17916.54,2982.4999999999995,24151.619999999995,77907.62
10,2010,,,,,
10,2011,42464.02,121196.63999999998,152069.83,18675.879999999997,73153.38999999998
10,2012,541064.42,169988.22000000003,160147.54,230092.61,257950.04999999993
10,2013,312128.79000000004,83706.26000000004,9853.290000000003,127400.12999999999,88337.22000000002
11,2010,,,,,
11,2011,39118.53,68757.65000000001,77056.65999999999,9607.74,63316.969999999994
11,2012,488999.9900000001,120914.96999999997,94685.65000000001,190889.57,268636.31999999995
11,2013,329895.73000000004,102289.42000000003,7278.2,119910.07999999999,130762.77000000003
12,2010,,,,,
12,2011,56362.73999999999,67156.09,67997.67,26266.149999999998,103084.26
12,2012,603044.0,143317.11,102607.17,263481.8499999999,240677.70999999996
12,2013,289289.7599999999,63512.19000000001,4149.8,166315.09000000003,90168.78
13,2010,,,,,
13,2011,67486.87999999999,122499.16,139807.66999999998,15520.940000000002,86889.87
13,2012,613580.3700000001,232287.51000000007,167538.32,255300.79999999993,338060.96
