-2.06,2011,558027.7699999999
5.54,2011,817485.14
6.23,2011,1083071.1399999994
7.46,2012,593875.4600000001
9.51,2011,775910.4300000003
9.55,2010,1034119.2099999997
10.09,2011,661163.9400000001
10.11,2011,513372.17000000004
10.24,2011,559903.13
10.53,2010,496725.44
10.91,2011,1083657.6099999999
11.17,2011,1565652.4700000002
11.29,2011,816603.0500000002
11.32,2011,547384.8999999999
12.19,2011,1059715.2700000003
12.39,2011,573545.96
12.98,2011,809833.21
13.29,2011,904261.6500000001
13.64,2011,479263.15
13.76,2010,729572.08
14.02,2012,811365.4199999999
14.19,2011,813211.46
14.31,2011,945643.17
14.44,2011,574798.8600000001
14.48,2010,1001943.8000000002
14.5,2011,1159438.53
14.56,2011,1179420.5000000005
14.64,2011,764014.75
14.84,2011,849540.8500000004
15.02,2011,466806.8899999999
15.12,2011,1010711.0800000001
15.2,2011,720242.19
15.22,2012,838751.5000000001
15.25,2010,1364721.5799999998
15.33,2012,1146992.13
15.47,2011,1070457.7999999996
15.56,2011,815915.5199999997
15.58,2011,1110706.06
15.64,2010,749549.55
16.3,2011,910298.4400000002
16.5,2011,888869.2700000001
16.57,2011,758510.3600000001
16.6,2010,1149612.0399999998
16.7,2011,812323.2899999999
16.81,2011,1150003.3600000003
16.87,2011,931939.5199999998
16.94,2011,2032864.77
17.0,2011,1206917.2
17.05,2011,1548661.4500000004
17.3,2011,572387.4700000001
17.46,2011,1017056.4300000002
17.56,2011,976522.93
17.91,2011,1126921.34
17.94,2011,1415746.9100000001
17.95,2010,835189.26
18.12,2010,443242.17
18.14,2010,1015684.09
18.2,2011,1016756.1000000002
18.3,2011,572360.8300000001
18.36,2010,841951.9099999999
18.49,2011,977070.6200000001
18.51,2011,1124357.2
18.55,2011,771315.62
18.67,2012,713117.66
18.73,2010,877268.29
18.75,2010,1380892.08
18.75,2011,908853.1499999999
18.76,2011,1289156.9000000001
18.79,2012,563460.77
18.8,2011,972834.4199999999
18.92,2011,600448.6900000002
19.03,2010,1005448.7600000002
19.05,2010,1169773.85
19.29,2010,811318.2999999999
19.53,2011,1035439.7900000005
19.55,2012,508520.08999999997
19.61,2011,481119.5999999999
19.63,2011,981978.0200000001
19.64,2010,583364.0200000001
19.66,2010,575317.3800000001
19.79,2010,477409.2999999998
19.83,2010,652122.4400000001
20.12,2010,1872365.9899999998
20.28,2012,873576.9599999996
20.38,2011,591907.8800000001
20.39,2011,1884345.01
20.6,2011,1975175.6699999995
20.61,2010,1196813.3299999998
20.61,2011,1209796.1199999999
20.66,2011,1284185.4899999995
20.67,2011,1301185.28
20.69,2011,556550.85
20.7,2011,558963.8300000001
20.74,2010,716388.8099999999
20.79,2010,635862.55
20.79,2011,2006533.2000000007
20.8,2011,448391.99000000017
20.84,2010,955338.2899999999
20.87,2010,472044.27999999997
20.87,2011,547564.09
20.96,2010,1507637.1699999997
21.02,2011,1370562.1099999994
21.07,2011,1067754.0599999996
21.1,2010,677231.6299999999
21.13,2010,469868.7
21.13,2011,938149.2100000003
21.18,2011,615666.78
21.33,2010,1205307.5
21.39,2012,492721.85000000003
21.52,2011,1249786.4000000004
21.6,2010,1047707.5899999999
